dt,symbol,open,high,low,close,volume,vwap,is_trading_day
2024-01-04,2330.tw,580.0,581.0,577.0,580.0,15309129,579.333333,1
2024-01-05,2330.tw,578.0,580.0,574.0,576.0,18158971,576.666667,1
2024-01-08,2330.tw,582.0,585.0,579.0,583.0,17761275,582.333333,1
2024-01-09,2330.tw,588.0,589.0,583.0,586.0,22501510,586.0,1
2024-01-10,2330.tw,581.0,586.0,580.0,584.0,13037716,583.333333,1
2024-01-11,2330.tw,586.0,589.0,583.0,586.0,23997409,586.0,1
2024-01-12,2330.tw,581.0,588.0,581.0,584.0,16496053,584.333333,1
2024-01-15,2330.tw,590.0,590.0,585.0,586.0,21143076,587.0,1
2024-01-16,2330.tw,581.0,588.0,579.0,580.0,27223860,582.333333,1
2024-01-17,2330.tw,583.0,584.0,578.0,581.0,42592335,581.0,1
2024-01-18,2330.tw,586.0,589.0,585.0,588.0,27209996,587.333333,1
2024-01-19,2330.tw,625.0,627.0,614.0,626.0,161106401,622.333333,1
2024-01-22,2330.tw,633.0,633.0,623.0,626.0,65168775,627.333333,1
2024-01-23,2330.tw,629.0,629.0,622.0,628.0,41072439,626.333333,1
2024-01-24,2330.tw,628.0,630.0,624.0,627.0,26635005,627.0,1
2024-01-25,2330.tw,635.0,642.0,633.0,642.0,52243347,639.0,1
2024-01-26,2330.tw,644.0,646.0,639.0,644.0,41153025,643.0,1
2024-01-29,2330.tw,646.0,648.0,644.0,648.0,27825490,646.666667,1
2024-01-30,2330.tw,642.0,647.0,642.0,642.0,36161825,643.666667,1
2024-01-31,2330.tw,634.0,637.0,626.0,628.0,41277950,630.333333,1
2024-02-01,2330.tw,625.0,628.0,619.0,628.0,44946369,625.0,1
2024-02-02,2330.tw,633.0,635.0,628.0,635.0,26334815,632.666667,1
2024-02-05,2330.tw,645.0,647.0,638.0,646.0,44017740,643.666667,1
2024-02-15,2330.tw,709.0,709.0,693.0,697.0,112945296,699.666667,1
2024-02-16,2330.tw,697.0,699.0,683.0,683.0,44232811,688.333333,1
2024-02-19,2330.tw,674.0,682.0,674.0,678.0,34408673,678.0,1
2024-02-20,2330.tw,675.0,688.0,675.0,687.0,30166461,683.333333,1
2024-02-21,2330.tw,678.0,683.0,678.0,681.0,30564485,680.666667,1
2024-02-22,2330.tw,695.0,695.0,685.0,692.0,33145643,690.666667,1
2024-02-23,2330.tw,701.0,703.0,696.0,697.0,46448923,698.666667,1
2024-02-26,2330.tw,700.0,700.0,695.0,698.0,28798079,697.666667,1
2024-02-27,2330.tw,700.0,701.0,691.0,698.0,33006829,696.666667,1
2024-02-29,2330.tw,691.0,698.0,688.0,690.0,54368302,692.0,1
2024-03-01,2330.tw,697.0,697.0,688.0,689.0,23390635,691.333333,1
